generation	transect	bl	bh	b	N	nsig	p
71	3	-1.202286308	1.038454532	0.106621617	100	10	0.1
71	4	-1.227482685	1.210769728	0.002783988	100	3	0.03
72	1	-0.969273387	0.967239893	7.65E-04	100	5	0.05
72	2	-1.181051731	1.046996824	0.054982024	100	11	0.11
72	3	-1.157588981	0.883807517	-0.016892942	100	4	0.04
72	4	-0.907184828	1.27335991	0.020221592	100	3	0.03
73	1	-0.901405642	0.740381807	0.01454229	100	5	0.05
73	2	-1.113783246	1.366022515	0.073679344	100	15	0.15
73	3	-0.953711611	0.97772874	-0.068991233	100	5	0.05
73	4	-0.946939296	1.300994677	0.032913854	100	6	0.06
74	1	-1.078970909	0.924867924	-2.74E-04	100	4	0.04
74	2	-1.208615165	1.099663628	-0.068740135	100	7	0.07
74	3	-0.896591133	0.783171977	-0.018832596	100	1	0.01
74	4	-0.683477509	0.887858183	0.032899601	100	2	0.02
75	1	-1.017370879	1.431775422	0.014289991	100	4	0.04
75	2	-1.149712671	1.208084456	0.024323189	100	7	0.07
75	3	-1.042750173	0.827851972	0.048266052	100	5	0.05
75	4	-0.889186173	1.25831759	0.100211146	100	5	0.05
76	1	-0.8618186	0.812149796	-0.091660158	100	3	0.03
76	2	-0.929288422	0.989444196	-0.010000212	100	3	0.03
76	3	-1.097621726	0.950591185	-0.035729276	100	8	0.08
76	4	-1.087122786	0.852324312	-0.031966567	100	3	0.03
77	1	-1.097144478	1.058203224	-0.090439192	100	6	0.06
77	2	-0.971252654	0.819712116	0.027462441	100	4	0.04
77	3	-1.183299778	0.776891694	-0.136798649	100	5	0.05
77	4	-0.902753034	0.946635413	0.027585695	100	3	0.03
78	1	-1.161231599	0.865519372	-0.105541838	100	5	0.05
78	2	-0.946221824	1.07005559	0.116472346	100	7	0.07
78	3	-0.884725039	0.924983652	-0.09039263	100	4	0.04
78	4	-0.845944587	0.83816039	0.085695373	100	4	0.04
79	1	-0.978220786	0.918762721	0.037043433	100	6	0.06
79	2	-0.933094613	1.240251781	0.071777993	100	8	0.08
79	3	-1.024837504	0.99059609	0.054540187	100	8	0.08
79	4	-1.129152453	1.090798032	0.020509313	100	4	0.04
80	1	-0.91365456	1.199571146	-0.104897851	100	3	0.03
80	2	-0.845413548	1.472395204	0.05590363	100	6	0.06
80	3	-1.15076718	0.701315517	-0.030855579	100	3	0.03
80	4	-0.901192234	0.909620771	0.090340893	100	3	0.03
81	1	-0.925098024	0.975299584	-0.089755954	100	4	0.04
81	2	-1.105663141	1.075358962	0.035102692	100	4	0.04
81	3	-1.00619544	0.886597319	-0.156470598	100	3	0.03
81	4	-0.694059659	1.014471118	0.140074689	100	2	0.02
82	1	-0.921999796	0.935127531	-0.057133602	100	4	0.04
82	2	-1.115578688	1.276398145	0.046333529	100	9	0.09
82	3	-0.969644306	0.866465114	0.030444051	100	5	0.05
82	4	-0.849583102	0.958876196	0.07960575	100	3	0.03
83	1	-0.91757289	0.958818804	-0.032464684	100	3	0.03
83	2	-0.702511616	1.282604467	0.099860499	100	12	0.12
83	3	-0.809455692	1.087830313	-0.042224974	100	4	0.04
83	4	-0.715523366	0.797264323	0.085270578	100	4	0.04
84	1	-0.96210466	1.00240368	0.043083214	100	5	0.05
84	2	-0.754745076	1.236415489	0.107345326	100	8	0.08
84	3	-1.170272393	1.080382914	-0.026371794	100	5	0.05
84	4	-0.944938524	0.855657866	-0.043754588	100	9	0.09
85	1	-0.823502076	1.139319456	0.042377348	100	3	0.03
85	2	-0.842879421	1.050084001	0.014702587	100	5	0.05
85	3	-0.859074555	0.768625763	0.017589397	100	2	0.02
85	4	-0.889035378	0.923435941	0.029734681	100	6	0.06
86	1	-0.89055013	0.836677181	-0.082658043	100	4	0.04
86	2	-1.079403384	1.216096526	-4.53E-04	100	5	0.05
86	3	-1.195430575	0.902882215	-0.04869121	100	6	0.06
86	4	-0.912578981	0.876195488	-0.049059961	100	3	0.03
87	1	-1.022546333	0.824327915	-0.006903954	100	6	0.06
87	2	-1.018978543	0.930055144	-1.15E-04	100	3	0.03
87	3	-1.070260307	0.893332422	-0.024892579	100	6	0.06
87	4	-0.880419906	0.894955841	0.012915761	100	8	0.08
88	1	-1.033531868	0.839492876	-0.058443015	100	3	0.03
88	2	-0.89599338	0.950015769	0.081641022	100	7	0.07
88	3	-0.782352925	0.804299138	-0.117160019	100	4	0.04
88	4	-0.982880499	0.875114372	0.029071207	100	1	0.01
89	1	-0.879773232	0.894171197	-0.019314307	100	5	0.05
89	2	-0.947994405	1.048767543	0.048343776	100	6	0.06
89	3	-1.107480342	1.091993515	0.011906378	100	9	0.09
89	4	-0.799635132	0.758460275	-0.015356756	100	3	0.03
90	1	-0.749375368	1.034525545	-0.007522717	100	0	0
90	2	-0.917125452	1.005200445	0.024279004	100	7	0.07
90	3	-0.911728787	0.867325422	-0.002374125	100	2	0.02
90	4	-1.024608509	0.713567925	0.053258309	100	5	0.05
91	1	-0.864086702	0.839805388	0.040460422	100	5	0.05
91	2	-0.775400723	0.859586911	-0.042300043	100	4	0.04
91	3	-0.712675723	0.924803936	0.115545971	100	4	0.04
91	4	-1.053615206	1.043312991	0.033304781	100	6	0.06
92	1	-0.89475692	1.03421196	-0.040541121	100	6	0.06
92	2	-0.95576134	1.018303747	-0.023715574	100	5	0.05
92	3	-0.898958269	1.254523355	0.114636937	100	8	0.08
92	4	-0.64206447	1.00268323	0.014746845	100	5	0.05
93	1	-0.939889295	1.048033066	-0.093493173	100	9	0.09
93	2	-1.121570339	1.230634145	0.025837653	100	11	0.11
93	3	-1.134384983	1.195581747	0.145811369	100	10	0.1
93	4	-0.842258598	1.123715286	0.008542605	100	5	0.05
94	1	-1.145219293	0.918404984	0.011595271	100	6	0.06
94	2	-0.964944615	0.873897538	-0.074225223	100	7	0.07
94	3	-0.889808148	0.90557226	0.099497153	100	5	0.05
94	4	-0.840777369	0.861790859	0.075556004	100	4	0.04
95	1	-0.969282702	1.16467731	0.003818317	100	10	0.1
95	2	-0.935257304	0.974700884	0.011264839	100	11	0.11
95	3	-0.921443468	0.929333411	-0.058082631	100	6	0.06
95	4	-0.784406429	0.989998956	0.050643293	100	7	0.07
96	1	-0.821554639	0.87701221	-0.04664561	100	2	0.02
96	2	-1.247014567	0.895926355	0.026415641	100	8	0.08
96	3	-1.056732336	0.761762621	0.106094702	100	5	0.05
96	4	-0.80270596	1.00991728	0.066184789	100	3	0.03
97	1	-0.939442507	0.82460606	0.099954677	100	5	0.05
97	2	-0.916466772	0.913439079	0.062207627	100	5	0.05
97	3	-0.737694317	1.0222857	0.013771513	100	3	0.03
97	4	-0.896039832	1.030034771	-0.026051129	100	5	0.05
98	1	-0.947158299	0.989671373	-0.005572285	100	6	0.06
98	2	-0.925232251	1.517389951	0.09259594	100	8	0.08
98	3	-0.932167325	0.997353713	0.08252419	100	7	0.07
98	4	-0.956554711	0.815454058	-0.091029619	100	4	0.04
99	1	-0.844978807	1.07574752	-0.009669873	100	10	0.1
99	2	-0.642026982	0.976011184	0.055805531	100	2	0.02
99	3	-0.917866798	0.71085787	-0.065309772	100	3	0.03
99	4	-0.835291817	0.917461895	-0.026539216	100	3	0.03
100	1	-0.540496321	1.094727	0.185385792	100	10	0.1
100	2	-0.884243722	0.839337353	-0.066263997	100	3	0.03
100	3	-0.533111117	0.999704095	0.189074064	100	6	0.06
100	4	-0.933873054	0.758939445	-0.102785383	100	3	0.03
101	1	-0.772165582	1.464486859	0.153652036	100	9	0.09
101	2	-1.639332925	0.929431568	-0.160920444	100	6	0.06
101	3	-0.949230661	0.876763246	0.071318422	100	3	0.03
101	4	-1.082387183	0.803333687	-0.272817936	100	5	0.05
102	1	-0.671881701	1.091134648	0.163053635	100	8	0.08
102	2	-0.99416708	0.77630639	-0.105271013	100	3	0.03
102	3	-0.749162812	1.198182989	0.121450104	100	6	0.06
102	4	-1.103934919	0.750594861	-0.195588119	100	8	0.08
103	1	-0.717364524	1.285040414	0.001851337	100	8	0.08
103	2	-0.945905686	0.723714897	0.029998903	100	4	0.04
103	3	-0.943982331	1.046187297	0.036441665	100	6	0.06
103	4	-1.142828798	0.719186528	-0.105065676	100	6	0.06
104	1	-0.826297661	0.985758805	-0.014339846	100	7	0.07
104	2	-1.008176534	0.873901228	-0.076342419	100	5	0.05
104	3	-0.770952503	1.131989581	-0.057454232	100	3	0.03
104	4	-0.956453776	0.765028268	-0.117759426	100	9	0.09
105	1	-0.924037007	1.201055999	0.043307938	100	9	0.09
105	2	-0.951315255	0.780170073	-0.018821016	100	6	0.06
105	3	-0.882509177	0.9883906	-0.028715539	100	4	0.04
105	4	-0.919876767	0.75693686	0.029190769	100	5	0.05
106	1	-0.915487549	1.155691176	0.107570347	100	10	0.1
106	2	-1.140590779	0.771642964	0.006207114	100	6	0.06
106	3	-0.867777786	0.978734624	-0.037949699	100	4	0.04
106	4	-0.900038164	0.858629718	-0.076931554	100	3	0.03
107	1	-0.76053222	0.956928942	0.098582666	100	7	0.07
107	2	-1.05977667	1.125152546	0.026183801	100	5	0.05
107	3	-0.912491423	0.92982862	0.036797165	100	3	0.03
107	4	-0.963171985	0.928103475	0.023213926	100	4	0.04
108	1	-0.998164947	0.974421098	0.044460967	100	7	0.07
108	2	-1.182663747	0.941645919	-0.003498417	100	4	0.04
108	3	-0.891426976	0.955422303	-0.008699347	100	4	0.04
108	4	-1.022926457	0.818530424	-0.039661046	100	5	0.05
109	1	-0.871078457	0.789154022	-0.042853577	100	6	0.06
