generation	transect	b	p_beta	lrt_p_value
57	1	0.045795754	0.506421138	0.506507633
57	2	0.001616004	0.98107267	0.981072849
57	3	0.019876938	0.777390806	0.777387492
57	4	-0.012331091	0.861357177	0.861360092
58	1	0.081330275	0.229202694	0.229499925
58	2	0.034932523	0.598261054	0.598247366
58	3	-0.043314509	0.524871884	0.524920251
58	4	-0.02224773	0.75256103	0.752563597
59	1	0.059162236	0.396759297	0.396897223
59	2	-0.021654928	0.751828379	0.751836144
59	3	-0.061056296	0.361754299	0.361790921
59	4	-0.004687568	0.946128644	0.946128044
60	1	0.011693382	0.865712351	0.865714058
60	2	0.066673176	0.323203013	0.323361937
60	3	-0.042297599	0.52923868	0.529265241
60	4	0.082068507	0.24289713	0.242962389
61	1	-0.026964699	0.700880981	0.700874985
61	2	-0.019043422	0.77690427	0.776718347
61	3	0.00753426	0.911225961	0.911223472
61	4	0.042370051	0.543804871	0.543849572
62	1	0.042313988	0.55047551	0.550542024
62	2	-0.035075252	0.598785895	0.598779194
62	3	0.005621265	0.93459522	0.934593598
62	4	0.028662354	0.671589309	0.671592987
63	1	-0.04042867	0.563415533	0.563395498
63	2	0.081732096	0.240731029	0.240829576
63	3	-0.075174044	0.255834668	0.256062543
63	4	-0.051356306	0.441613095	0.441711864
64	1	-0.122358715	0.084610159	0.084767048
64	2	0.052368641	0.445492354	0.445535343
64	3	0.012196747	0.851745448	0.851744621
64	4	0.028353041	0.687152977	0.687175356
65	1	-0.017448322	0.799057878	0.79905618
65	2	0.030626414	0.64403895	0.644069575
65	3	-0.030881391	0.642235602	0.642209174
65	4	-0.049202491	0.486172322	0.486215369
66	1	0.012566984	0.851025179	0.85099
66	2	-0.050771771	0.443721818	0.443734559
66	3	-0.062018986	0.351437832	0.35152987
66	4	0.003890841	0.956230097	0.956231544
67	1	-0.004443717	0.947910257	0.947910974
67	2	0.041753828	0.531838893	0.531916894
67	3	0.007969405	0.904755618	0.904758533
67	4	-0.011533374	0.865166554	0.865130899
68	1	-0.006532477	0.9217422	0.921744148
68	2	0.08956222	0.183519191	0.183663816
68	3	0.103078655	0.139113774	0.139296738
68	4	-0.07145213	0.286185938	0.286264714
69	1	-0.006464044	0.921063251	0.921062618
69	2	-0.070496798	0.286693219	0.286765268
69	3	-0.017235409	0.806960166	0.806896473
69	4	0.005714209	0.934097065	0.934096139
70	1	-0.001772626	0.978499335	0.978497589
70	2	0.00411408	0.951804546	0.951804588
70	3	0.010133927	0.883849177	0.883848548
