generation	transect	bl	bh	b	N	nsig	p
38	4	-1.062794476	1.172786945	0.081493311	100	2	0.02
39	1	-0.860868771	0.932493943	0.055603205	100	3	0.03
39	2	-0.85440179	0.914890111	0.05551409	100	1	0.01
39	3	-0.928853224	1.253181495	0.001182348	100	1	0.01
39	4	-0.963570383	1.141115179	-0.001937225	100	5	0.05
40	1	-1.016056316	1.203102452	-0.03297998	100	4	0.04
40	2	-1.113688556	1.016707601	0.032994273	100	5	0.05
40	3	-0.89852204	0.897284382	0.04394993	100	2	0.02
40	4	-0.8272868	0.943746029	-0.040632698	100	2	0.02
41	1	-0.976706841	1.102304831	0.037271281	100	4	0.04
41	2	-1.076535544	0.857937815	-0.09394757	100	1	0.01
41	3	-1.22698854	0.866778415	-0.035669859	100	6	0.06
41	4	-0.880687118	0.878419061	0.048816833	100	1	0.01
42	1	-1.217575081	1.068110993	-0.021938845	100	2	0.02
42	2	-1.281312404	0.935779451	-0.027410666	100	3	0.03
42	3	-1.109611912	1.158427869	-0.035086034	100	2	0.02
42	4	-1.026943651	0.910699964	0.050347341	100	0	0
43	1	-1.212555291	1.066115832	0.106546803	100	3	0.03
43	2	-1.370903825	1.10462507	-0.097166766	100	8	0.08
43	3	-1.08579416	1.015383079	-0.18662786	100	7	0.07
43	4	-1.102030926	0.92421605	0.119645848	100	1	0.01
44	1	-0.95515511	1.044510378	0.026334529	100	2	0.02
44	2	-0.961899583	1.010837736	0.011488918	100	2	0.02
44	3	-1.192187075	1.080557155	-0.053605169	100	4	0.04
44	4	-1.266500926	0.933821048	0.074324481	100	4	0.04
45	1	-0.999900309	0.869609281	0.115968573	100	1	0.01
45	2	-0.919500425	0.975908547	0.062112767	100	3	0.03
45	3	-1.350527784	0.930151795	-0.044437866	100	4	0.04
45	4	-1.10096869	0.989509874	0.016933481	100	1	0.01
46	1	-0.794922131	0.933614045	-0.035319607	100	3	0.03
46	2	-1.10812415	1.28013007	0.090687865	100	2	0.02
46	3	-0.934278532	1.390471457	-0.013126194	100	4	0.04
46	4	-1.025052931	1.24875635	-0.077173231	100	3	0.03
47	1	-1.123260979	1.08184883	-0.006052168	100	3	0.03
47	2	-0.941906373	0.967478811	-0.01018815	100	6	0.06
47	3	-0.910822207	0.902111412	0.096725321	100	0	0
47	4	-1.204053072	1.16194298	0.007983728	100	5	0.05
48	1	-0.865120126	1.233101978	-0.127868987	100	1	0.01
48	2	-1.045901727	0.961270089	-0.009653941	100	3	0.03
48	3	-1.090710038	1.289324782	-0.006013581	100	5	0.05
48	4	-0.981728153	0.878879041	-0.037798726	100	2	0.02
49	1	-0.910973012	1.301197479	0.024514726	100	0	0
49	2	-0.949479553	1.175031711	-0.040518535	100	4	0.04
49	3	-1.154434795	1.093533754	-0.037719392	100	3	0.03
49	4	-1.104428663	1.324579481	0.045344319	100	3	0.03
50	1	-1.08043727	0.926160944	0.042219358	100	0	0
50	2	-1.122745422	1.279301572	-0.041596155	100	6	0.06
50	3	-1.275259417	1.073364117	-0.039291946	100	6	0.06
50	4	-0.903045474	1.141763465	0.065178031	100	5	0.05
51	1	-1.439918692	1.051465267	0.058565498	100	7	0.07
51	2	-1.143914628	1.077199952	0.01399031	100	4	0.04
51	3	-1.038511108	1.290009786	0.026686531	100	2	0.02
51	4	-1.004125777	1.147205936	0.004456692	100	3	0.03
52	1	-0.924040717	1.540966109	-0.051930198	100	6	0.06
52	2	-1.074444671	1.256363043	0.094741926	100	1	0.01
52	3	-1.063360946	1.053914177	-0.007733076	100	9	0.09
52	4	-0.996480664	1.264434926	-0.017989672	100	4	0.04
53	1	-0.853041623	0.928346605	-0.013188853	100	2	0.02
53	2	-0.962742577	1.34975443	0.035914261	100	4	0.04
53	3	-0.894282375	1.484730013	-0.041153422	100	9	0.09
53	4	-0.896348053	1.016518963	-0.024444268	100	4	0.04
54	1	-0.951497606	1.199471292	0.0427326	100	7	0.07
54	2	-0.875701544	1.126960897	-0.035386222	100	5	0.05
54	3	-1.038585345	1.384769533	0.001432687	100	9	0.09
54	4	-0.867891469	0.953169535	0.025282185	100	4	0.04
55	1	-1.0842878	1.348227903	0.046712289	100	4	0.04
55	2	-0.901980826	1.233085095	0.014694275	100	3	0.03
55	3	-1.091257818	1.174703912	0.068288419	100	4	0.04
55	4	-1.063578729	1.19030659	0.096052032	100	5	0.05
56	1	-1.100994718	0.811298999	0.047954744	100	3	0.03
56	2	-0.823513006	1.066135413	-0.031852727	100	1	0.01
56	3	-1.057378288	1.027816793	-0.006502407	100	2	0.02
56	4	-1.296345246	1.152399844	-0.048148865	100	3	0.03
57	1	-0.970269861	0.978285569	0.017299701	100	2	0.02
57	2	-0.826346325	0.985563162	0.031781585	100	4	0.04
57	3	-1.089913509	1.526083627	0.053436616	100	8	0.08
57	4	-1.154112866	1.399631297	0.017592156	100	1	0.01
58	1	-1.002705338	0.976719444	0.034147859	100	3	0.03
58	2	-0.988817172	1.037865314	0.054219397	100	4	0.04
58	3	-0.998457857	1.093390613	-0.023968275	100	3	0.03
58	4	-1.130847073	0.861377312	-0.081578889	100	2	0.02
