generation	transect	bl	bh	b	N	nsig	p
35	1	-1.88529962	1.115405816	0.033644104	100	4	0.04
35	2	-1.134071083	1.127929166	0.053280551	100	4	0.04
35	3	-0.972491831	0.820664796	-0.07600382	100	1	0.01
35	4	-1.261389547	1.102324252	-0.024653191	100	8	0.08
36	1	-1.009274747	0.923104944	0.077223663	100	4	0.04
36	2	-0.973570799	1.208443049	-0.016045906	100	5	0.05
36	3	-0.893045204	1.364271482	-0.030980838	100	0	0
36	4	-0.799184298	1.083024743	0.054229271	100	3	0.03
37	1	-0.935243818	1.034504307	0.104416265	100	2	0.02
37	2	-1.132079197	1.012988884	0.030198433	100	5	0.05
37	3	-0.749113963	0.998720915	-0.068287194	100	1	0.01
37	4	-0.976688723	1.013766765	0.050673006	100	2	0.02
38	1	-0.98391277	0.973080103	0.042724761	100	3	0.03
38	2	-1.144441692	0.994353298	-0.080151644	100	5	0.05
38	3	-1.346588727	1.282887866	0.083221164	100	5	0.05
38	4	-1.012361878	1.530467042	-0.035489362	100	9	0.09
39	1	-0.791054553	1.20159619	0.02461385	100	3	0.03
39	2	-0.819071546	0.994941456	0.046762751	100	3	0.03
39	3	-0.885008863	1.072439287	-0.031066143	100	1	0.01
39	4	-1.175581688	1.146115458	-0.080187061	100	4	0.04
40	1	-1.038264531	1.108271665	0.049884066	100	3	0.03
40	2	-0.776658852	1.186231707	-0.02258522	100	2	0.02
40	3	-1.166587843	1.192702429	0.043585775	100	4	0.04
40	4	-1.057700172	1.094343326	0.027611579	100	5	0.05
41	1	-1.014307063	0.983417723	-0.01614197	100	1	0.01
41	2	-0.987093531	1.063145164	0.009859796	100	2	0.02
41	3	-0.94502109	0.956227688	-0.077637244	100	4	0.04
41	4	-1.118910492	0.930729365	-0.033341414	100	2	0.02
42	1	-1.037003888	0.874044092	-0.10539408	100	3	0.03
42	2	-1.113205074	1.153335567	0.046560704	100	6	0.06
42	3	-1.143537261	0.909138597	0.003267558	100	6	0.06
42	4	-0.885907423	0.88217601	0.014205212	100	2	0.02
43	1	-0.977096867	1.192322243	0.103534759	100	5	0.05
43	2	-1.422070501	0.941693652	0.010868136	100	6	0.06
43	3	-0.904840836	1.062287131	-0.087473117	100	1	0.01
43	4	-1.15802533	1.001421803	0.064490918	100	6	0.06
44	1	-1.03527198	0.881930167	0.04219611	100	2	0.02
44	2	-1.158682539	0.945182843	-0.035615985	100	3	0.03
44	3	-1.026925415	1.032069479	0.012889944	100	1	0.01
44	4	-1.195220599	0.90299509	0.089430497	100	0	0
45	1	-0.800965395	0.939331806	0.079676869	100	5	0.05
45	2	-1.331733627	0.956001452	-0.072938798	100	4	0.04
